Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2023-08-04 10:29:17,false,"Sonoma County Running","1.97","195","00:38:49","105","128","140","156","19:43","17:58","33","39","0.58","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","19:15.57","2","0.0","00:38:38","00:38:49","307","343"
Running,2023-08-02 09:15:11,false,"Sonoma County Running","2.00","206","00:39:59","93","115","137","159","20:03","16:55","60","61","0.59","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","19:30.43","2","0.0","00:39:39","00:39:59","307","366"
Running,2023-07-31 10:45:00,false,"Sonoma County Running","1.98","194","00:43:29","97","117","127","156","21:55","17:32","83","83","0.58","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","21:18.41","2","0.0","00:42:39","00:43:29","307","366"
Running,2023-07-21 08:55:30,false,"Sonoma County Running","2.05","227","00:58:12","89","117","96","163","28:23","16:20","45","46","2.64","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.82","8","0.0","00:40:05","00:58:19","285","342"
Running,2023-07-19 09:06:46,false,"Sonoma County Running","2.01","213","00:42:46","109","130","124","159","21:14","15:12","57","66","0.63","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:27.93","3","0.0","00:38:03","00:42:51","307","366"
Running,2023-07-13 09:59:00,false,"Sonoma County Running","2.10","207","00:42:47","97","126","132","158","20:25","17:01","40","46","0.60","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:59.14","3","0.0","00:40:28","00:43:47","307","343"
Running,2023-07-10 10:40:14,false,"Sonoma County Running","2.10","204","00:42:50","97","113","133","155","20:25","16:14","59","67","0.59","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:20.67","3","0.0","00:42:34","00:42:50","285","333"
Running,2023-07-07 10:47:11,false,"Sonoma County Running","1.99","193","00:40:40","94","114","135","156","20:29","16:48","65","79","0.58","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","19:42.72","2","0.0","00:40:38","00:40:40","307","366"
Running,2023-07-04 07:30:29,false,"Kenwood 3K","1.91","184","00:34:38","84","111","147","228","18:10","14:14","110","107","0.60","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","15:44.11","2","0.0","00:34:37","00:34:38","387","496"
Running,2023-07-01 09:47:07,false,"Sonoma County Running","2.00","203","00:41:14","97","119","130","165","20:35","15:48","50","56","0.60","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:03.04","3","0.0","00:38:39","00:41:14","307","343"
Running,2023-06-29 10:42:44,false,"Sonoma County Running","2.01","200","00:39:16","86","128","138","161","19:31","15:32","57","67","0.60","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:19.97","3","0.0","00:38:58","00:39:16","307","366"
Running,2023-06-27 10:31:02,false,"Sonoma County Running","2.00","204","00:38:23","102","129","139","161","19:11","16:37","111","120","0.60","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","18:54.33","2","0.0","00:38:02","00:38:23","387","495"
Running,2023-06-23 11:13:14,false,"Sonoma County Running","2.70","282","00:51:55","110","132","140","165","19:15","15:32","86","94","0.60","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","13:01.41","3","0.0","00:51:53","00:51:55","285","366"
Running,2023-06-21 08:59:48,false,"Sonoma County Running","2.00","228","00:37:57","112","131","142","163","18:56","14:59","22","32","0.60","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:04.95","3","0.0","00:37:56","00:37:57","307","343"
Running,2023-06-19 10:09:04,false,"Sonoma County Running","1.99","194","00:38:21","82","128","139","165","19:15","16:26","73","73","0.60","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","18:58.60","2","0.0","00:38:13","00:38:21","307","366"
Running,2023-06-12 10:46:46,false,"Sonoma County Running","2.01","206","00:38:49","111","130","139","156","19:21","17:32","117","121","0.60","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:03.98","3","0.0","00:38:44","00:38:49","387","496"
Running,2023-06-09 10:37:59,false,"Sonoma County Running","2.31","233","00:47:15","105","126","133","165","20:29","15:42","101","105","0.59","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","06:03.62","3","0.0","00:45:54","00:47:15","384","483"
Running,2023-06-06 16:59:14,false,"Sonoma County Running","1.86","185","00:38:47","95","116","135","158","20:49","16:55","39","39","0.58","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","18:47.12","2","0.0","00:38:46","00:38:47","307","343"
Walking,2023-06-05 10:39:29,false,"Sonoma County Walking","2.17","194","00:47:58","79","119","105","156","22:06","15:32","42","53","0.71","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:23.12","3","0.0","00:45:36","00:47:58","307","343"
Running,2023-06-01 10:24:08,false,"Sonoma County Running","1.03","96","00:21:05","82","99","135","157","20:33","17:01","23","23","0.58","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:36.03","2","0.0","00:20:56","00:21:05","307","344"
Running,2023-05-17 10:11:33,false,"Sonoma County Running","2.00","210","00:39:18","97","124","136","156","19:36","16:04","64","79","0.60","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:05.72","3","0.0","00:39:02","00:39:18","307","366"
Running,2023-05-15 10:33:07,false,"Sonoma County Running","2.03","208","00:41:00","89","115","132","155","20:12","17:38","61","73","0.60","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:40.22","3","0.0","00:40:41","00:41:00","307","366"
Running,2023-05-13 11:15:24,false,"Sonoma County Running","1.50","145","00:28:50","107","127","138","156","19:13","15:18","48","59","0.61","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","09:58.81","2","0.0","00:28:43","00:28:50","285","325"
Walking,2023-05-11 09:59:15,false,"Sonoma County Walking","2.60","252","01:02:42","76","91","92","105","24:06","19:49","137","134","0.73","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","14:18.28","3","0.0","01:00:23","01:02:42","212","347"
Running,2023-05-10 09:06:55,false,"Sonoma County Running","1.97","197","00:40:35","106","117","131","157","20:37","15:58","26","32","0.60","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","19:43.28","2","0.0","00:39:45","00:40:35","307","344"
Running,2023-05-08 11:21:04,false,"Sonoma County Running","2.00","202","00:36:48","96","127","141","162","18:22","15:53","64","74","0.62","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:02.91","3","0.0","00:36:43","00:36:48","307","366"
Running,2023-05-06 11:25:59,false,"Sonoma County Running","2.61","258","00:52:17","106","120","135","159","20:02","14:40","95","106","0.59","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","12:30.24","3","0.0","00:52:10","00:52:17","285","366"
Running,2023-05-04 09:47:47,false,"Sonoma County Running","2.00","200","00:38:49","97","123","139","156","19:23","15:37","49","49","0.60","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:03.41","3","0.0","00:38:37","00:38:49","307","343"
Running,2023-04-29 09:14:02,false,"Sonoma County Running","2.00","195","00:39:02","113","127","138","159","19:32","15:27","67","75","0.60","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","18:56.88","2","0.0","00:38:54","00:39:02","307","366"
Running,2023-04-27 10:32:31,false,"Sonoma County Running","2.00","205","00:38:34","108","126","137","161","19:17","15:58","27","34","0.61","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","19:01.21","2","0.0","00:37:50","00:38:34","307","343"
Running,2023-04-24 11:01:00,false,"Sonoma County Running","2.00","216","00:39:13","103","131","135","157","19:37","16:04","41","44","0.61","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","19:20.97","2","0.0","00:37:26","00:39:13","307","342"
Running,2023-04-22 10:59:44,false,"Sonoma County Running","2.00","205","00:39:05","112","133","137","165","19:33","16:37","65","72","0.60","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","19:16.95","2","0.0","00:38:46","00:39:05","307","366"
Running,2023-04-21 12:05:33,false,"Sonoma County Running","2.05","211","00:37:58","122","133","140","156","18:30","13:45","43","51","0.62","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:05.11","3","0.0","00:37:37","00:37:58","286","327"
Running,2023-04-18 11:32:02,false,"Sonoma County Running","3.38","337","00:59:43","109","144","93","160","17:41","9:08","1,646","1,660","1.64","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","11:44.72","4","0.0","00:43:01","00:59:43","77","367"
Walking,2023-04-15 11:58:53,false,"Sonoma County Walking","3.35","274","00:59:50","84","123","67","158","17:51","5:45","125","126","2.96","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","05:00.46","4","0.0","00:43:40","00:59:50","260","387"
Running,2023-04-13 11:56:10,false,"Sonoma County Running","2.39","266","00:41:20","112","141","127","156","17:18","4:36","4,197","4,210","0.74","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","06:25.02","3","0.0","00:39:33","00:41:20","303","1,123"
Running,2023-04-10 16:57:30,false,"Sonoma County Running","1.03","111","00:19:46","104","128","137","161","19:07","15:12","22","30","0.61","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:31.47","2","0.0","00:19:10","00:19:46","307","333"
Running,2023-04-06 17:06:50,false,"Sonoma County Running","2.00","202","00:40:26","97","127","137","162","20:13","18:04","45","46","0.58","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","19:38.59","2","0.0","00:39:56","00:40:26","307","343"
Running,2023-04-02 11:43:11,false,"Sonoma County Running","2.00","199","00:42:16","90","128","130","156","21:08","17:58","61","70","0.59","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","21:06.47","2","0.0","00:41:30","00:42:16","307","366"
Running,2023-03-30 11:31:11,false,"Sonoma County Running","2.01","191","00:43:14","89","103","131","160","21:30","17:19","70","70","0.57","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:15.36","3","0.0","00:42:32","00:43:14","308","366"
Running,2023-03-27 11:12:36,false,"Sonoma County Running","2.00","201","00:41:15","96","114","136","155","20:36","17:06","23","30","0.58","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:02.83","3","0.0","00:41:00","00:41:15","307","342"
Running,2023-03-24 12:08:04,false,"Sonoma County Running","1.00","91","00:20:24","94","107","138","165","20:22","16:31","10","24","0.57","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.57","2","0.0","00:20:06","00:20:24","308","343"
Running,2023-03-23 10:45:39,false,"Sonoma County Running","2.00","208","00:39:24","97","125","137","161","19:42","15:27","80","82","0.60","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.29","3","0.0","00:38:54","00:39:24","307","366"
Running,2023-03-17 11:44:19,false,"Sonoma County Running","1.70","180","00:35:25","105","123","130","159","20:49","15:58","65","79","0.59","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","14:54.65","2","0.0","00:33:19","00:35:25","307","366"
Running,2023-03-16 09:56:15,false,"Sonoma County Running","1.01","98","00:18:50","100","118","145","157","18:44","16:20","13","24","0.59","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:06.42","2","0.0","00:18:34","00:18:50","307","343"
Running,2023-03-02 11:42:18,false,"Sonoma County Running","2.00","201","00:40:29","103","117","135","157","20:14","17:13","71","71","0.59","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.91","3","0.0","00:40:02","00:40:29","307","366"
Running,2023-03-01 09:03:19,false,"Sonoma County Running","2.02","211","00:49:02","94","116","93","159","24:19","15:53","42","43","0.71","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:43.81","3","0.0","00:45:45","00:49:02","312","344"
Running,2023-02-22 10:38:38,false,"Sonoma County Running","2.00","191","00:38:39","97","116","141","162","19:18","15:53","44","45","0.59","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.15","3","0.0","00:38:38","00:38:39","307","343"
Running,2023-02-20 10:22:20,false,"Sonoma County Running","2.00","197","00:40:52","91","121","133","159","20:27","16:37","74","74","0.59","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","19:13.84","2","0.0","00:40:44","00:40:52","307","366"
Running,2023-02-18 10:49:30,false,"Sonoma County Running","2.00","196","00:41:10","102","119","124","163","20:36","16:14","58","67","0.63","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","19:38.87","2","0.0","00:41:01","00:41:10","307","366"
Walking,2023-02-16 10:42:42,false,"Sonoma County Walking","2.00","191","00:41:20","90","121","127","159","20:38","16:37","64","77","0.62","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:05.56","3","0.0","00:40:40","00:41:20","307","366"
Walking,2023-02-12 12:19:18,false,"Sonoma County Walking","1.51","147","00:39:28","75","96","87","159","26:10","17:51","50","56","0.71","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","13:41.23","2","0.0","00:37:37","00:39:28","285","325"
Running,2023-02-04 11:29:52,false,"Sonoma County Running","2.00","200","00:39:16","95","114","138","156","19:36","14:45","77","79","0.60","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:03.26","3","0.0","00:39:07","00:39:16","307","366"
Running,2023-02-01 09:21:09,false,"Sonoma County Running","2.00","201","00:38:56","85","103","139","165","19:25","15:58","73","74","0.60","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:05.64","3","0.0","00:38:54","00:38:56","307","366"
Running,2023-01-30 11:40:38,false,"Sonoma County Running","2.00","201","00:41:04","93","116","136","160","20:32","15:42","73","73","0.58","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","19:11.65","2","0.0","00:40:50","00:41:04","307","366"
Running,2023-01-28 11:25:19,false,"Sonoma County Running","2.00","191","00:40:13","106","119","137","157","20:08","15:48","70","79","0.58","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","19:14.45","2","0.0","00:40:05","00:40:13","307","366"
Running,2023-01-26 11:00:11,false,"Sonoma County Running","1.98","203","00:42:48","100","122","132","157","21:35","17:06","53","62","0.57","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","20:38.03","2","0.0","00:42:42","00:42:48","307","366"
Running,2023-01-22 10:53:13,false,"Sonoma County Running","1.70","172","00:34:49","100","118","137","159","20:29","16:43","80","80","0.57","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","14:34.19","2","0.0","00:34:42","00:34:49","307","366"
